,Image,Nucleus_ID,X,Y
1,002_study1_image002_AF.png,1,136.500,40.500
2,002_study1_image002_AF.png,2,118.500,64.500
3,002_study1_image002_AF.png,3,112.833,89.500
4,002_study1_image002_AF.png,4,95.500,108.500
5,002_study1_image002_AF.png,5,108.833,109.167
6,002_study1_image002_AF.png,6,150.833,25.833
7,002_study1_image002_AF.png,7,132.833,17.833
8,002_study1_image002_AF.png,8,187.500,57.167
9,002_study1_image002_AF.png,9,152.500,53.167
10,002_study1_image002_AF.png,10,201.833,65.833
11,002_study1_image002_AF.png,11,189.167,108.500
12,002_study1_image002_AF.png,12,152.833,105.500
13,002_study1_image002_AF.png,13,164.167,155.833
14,002_study1_image002_AF.png,14,152.167,174.500
15,002_study1_image002_AF.png,15,77.833,152.833
16,002_study1_image002_AF.png,16,63.833,169.500
17,002_study1_image002_AF.png,17,100.167,148.833
18,002_study1_image002_AF.png,18,46.500,175.167
19,002_study1_image002_AF.png,19,261.167,138.167
20,002_study1_image002_AF.png,20,278.167,152.167
21,002_study1_image002_AF.png,21,325.167,162.833
22,002_study1_image002_AF.png,22,295.833,127.167
23,002_study1_image002_AF.png,23,335.500,203.167
24,002_study1_image002_AF.png,24,247.833,193.500
25,002_study1_image002_AF.png,25,281.833,178.500
26,002_study1_image002_AF.png,26,236.833,45.500
27,002_study1_image002_AF.png,27,87.833,205.500
28,002_study1_image002_AF.png,28,96.500,218.167
29,002_study1_image002_AF.png,29,132.833,221.500
30,002_study1_image002_AF.png,30,188.833,273.500
31,002_study1_image002_AF.png,31,169.833,265.833
32,002_study1_image002_AF.png,32,228.833,291.167
33,002_study1_image002_AF.png,33,224.167,411.833
34,002_study1_image002_AF.png,34,205.167,422.167
35,002_study1_image002_AF.png,35,196.167,434.833
36,002_study1_image002_AF.png,36,112.167,410.833
37,002_study1_image002_AF.png,37,126.833,389.500
38,002_study1_image002_AF.png,38,97.167,394.167
39,002_study1_image002_AF.png,39,100.500,377.167
40,002_study1_image002_AF.png,40,113.833,381.167
41,002_study1_image002_AF.png,41,29.833,323.167
42,002_study1_image002_AF.png,42,22.833,346.833
43,002_study1_image002_AF.png,43,270.167,345.167
44,002_study1_image002_AF.png,44,289.833,386.500
45,002_study1_image002_AF.png,45,327.833,411.167
46,002_study1_image002_AF.png,46,349.167,412.500
47,002_study1_image002_AF.png,47,364.833,400.500
48,002_study1_image002_AF.png,48,375.833,353.500
49,002_study1_image002_AF.png,49,343.833,312.833
50,002_study1_image002_AF.png,50,333.167,277.500
51,002_study1_image002_AF.png,51,354.500,295.500
52,002_study1_image002_AF.png,52,493.833,54.167
53,002_study1_image002_AF.png,53,473.833,49.167
54,002_study1_image002_AF.png,54,503.500,138.500
55,002_study1_image002_AF.png,55,79.500,113.167
56,036_study1_image036_AF.png,22,305.500,245.167
57,036_study1_image036_AF.png,23,322.167,223.833
58,036_study1_image036_AF.png,24,313.167,142.167
59,036_study1_image036_AF.png,25,339.833,139.500
60,036_study1_image036_AF.png,26,384.167,103.500
61,036_study1_image036_AF.png,27,403.833,97.833
62,036_study1_image036_AF.png,28,371.833,67.833
63,036_study1_image036_AF.png,29,224.500,72.500
64,036_study1_image036_AF.png,30,213.167,77.167
65,036_study1_image036_AF.png,31,243.833,56.167
66,036_study1_image036_AF.png,32,201.500,61.833
67,036_study1_image036_AF.png,33,74.167,53.500
68,036_study1_image036_AF.png,34,51.500,265.833
69,036_study1_image036_AF.png,35,39.167,283.167
70,036_study1_image036_AF.png,36,25.833,277.167
71,036_study1_image036_AF.png,37,340.500,392.500
72,036_study1_image036_AF.png,38,249.833,330.833
73,036_study1_image036_AF.png,39,176.500,245.833
74,036_study1_image036_AF.png,40,192.833,32.833
75,036_study1_image036_AF.png,41,270.500,73.500
76,036_study1_image036_AF.png,42,368.833,216.500
77,036_study1_image036_AF.png,43,378.833,191.167
78,036_study1_image036_AF.png,44,285.500,254.167
79,036_study1_image036_AF.png,45,286.833,240.833
80,036_study1_image036_AF.png,46,416.500,251.167
81,036_study1_image036_AF.png,47,242.500,125.500
