,Image,Slice_Index,Nucleus_ID,X,Y
1,002_study1_image002_AF.png,2,1,136.500,40.500
2,002_study1_image002_AF.png,2,2,118.500,64.500
3,002_study1_image002_AF.png,2,3,112.833,89.500
4,002_study1_image002_AF.png,2,4,95.500,108.500
5,002_study1_image002_AF.png,2,5,108.833,109.167
6,002_study1_image002_AF.png,2,6,150.833,25.833
7,002_study1_image002_AF.png,2,7,132.833,17.833
8,002_study1_image002_AF.png,2,8,187.500,57.167
9,002_study1_image002_AF.png,2,9,152.500,53.167
10,002_study1_image002_AF.png,2,10,201.833,65.833
11,002_study1_image002_AF.png,2,11,189.167,108.500
12,002_study1_image002_AF.png,2,12,152.833,105.500
13,002_study1_image002_AF.png,2,13,164.167,155.833
14,002_study1_image002_AF.png,2,14,152.167,174.500
15,002_study1_image002_AF.png,2,15,77.833,152.833
16,002_study1_image002_AF.png,2,16,63.833,169.500
17,002_study1_image002_AF.png,2,17,100.167,148.833
18,002_study1_image002_AF.png,2,18,46.500,175.167
19,002_study1_image002_AF.png,2,19,261.167,138.167
20,002_study1_image002_AF.png,2,20,278.167,152.167
21,002_study1_image002_AF.png,2,21,325.167,162.833
22,002_study1_image002_AF.png,2,22,295.833,127.167
23,002_study1_image002_AF.png,2,23,335.500,203.167
24,002_study1_image002_AF.png,2,24,247.833,193.500
25,002_study1_image002_AF.png,2,25,281.833,178.500
26,002_study1_image002_AF.png,2,26,236.833,45.500
27,002_study1_image002_AF.png,2,27,87.833,205.500
28,002_study1_image002_AF.png,2,28,96.500,218.167
29,002_study1_image002_AF.png,2,29,132.833,221.500
30,002_study1_image002_AF.png,2,30,188.833,273.500
31,002_study1_image002_AF.png,2,31,169.833,265.833
32,002_study1_image002_AF.png,2,32,228.833,291.167
33,002_study1_image002_AF.png,2,33,224.167,411.833
34,002_study1_image002_AF.png,2,34,205.167,422.167
35,002_study1_image002_AF.png,2,35,196.167,434.833
36,002_study1_image002_AF.png,2,36,112.167,410.833
37,002_study1_image002_AF.png,2,37,126.833,389.500
38,002_study1_image002_AF.png,2,38,97.167,394.167
39,002_study1_image002_AF.png,2,39,100.500,377.167
40,002_study1_image002_AF.png,2,40,113.833,381.167
41,002_study1_image002_AF.png,2,41,29.833,323.167
42,002_study1_image002_AF.png,2,42,22.833,346.833
43,002_study1_image002_AF.png,2,43,270.167,345.167
44,002_study1_image002_AF.png,2,44,289.833,386.500
45,002_study1_image002_AF.png,2,45,327.833,411.167
46,002_study1_image002_AF.png,2,46,349.167,412.500
47,002_study1_image002_AF.png,2,47,364.833,400.500
48,002_study1_image002_AF.png,2,48,375.833,353.500
49,002_study1_image002_AF.png,2,49,343.833,312.833
50,002_study1_image002_AF.png,2,50,333.167,277.500
51,002_study1_image002_AF.png,2,51,354.500,295.500
52,002_study1_image002_AF.png,2,52,493.833,54.167
53,002_study1_image002_AF.png,2,53,473.833,49.167
54,002_study1_image002_AF.png,2,54,503.500,138.500
55,002_study1_image002_AF.png,2,55,79.500,113.167
