 ,Image,Slice_Index,Nucleus_ID,X,Y
1,107_study1_image107_AF.png,1,1,157.167,104.500
2,107_study1_image107_AF.png,1,2,128.833,129.500
3,107_study1_image107_AF.png,1,3,73.500,142.500
4,107_study1_image107_AF.png,1,4,47.167,173.833
5,107_study1_image107_AF.png,1,5,88.500,176.833
6,107_study1_image107_AF.png,1,6,103.167,113.833
7,107_study1_image107_AF.png,1,7,42.167,142.167
8,107_study1_image107_AF.png,1,8,268.833,62.500
9,107_study1_image107_AF.png,1,9,269.167,99.500
10,107_study1_image107_AF.png,1,10,257.833,88.167
11,107_study1_image107_AF.png,1,11,254.167,77.833
12,107_study1_image107_AF.png,1,12,198.500,105.500
13,107_study1_image107_AF.png,1,13,237.500,123.500
14,107_study1_image107_AF.png,1,14,249.833,127.167
15,107_study1_image107_AF.png,1,15,286.500,133.833
16,107_study1_image107_AF.png,1,16,265.500,170.833
17,107_study1_image107_AF.png,1,17,247.500,181.500
18,107_study1_image107_AF.png,1,18,219.833,199.500
19,107_study1_image107_AF.png,1,19,183.500,175.167
20,107_study1_image107_AF.png,1,20,188.500,137.500
21,107_study1_image107_AF.png,1,21,147.833,164.167
22,107_study1_image107_AF.png,1,22,153.833,143.833
23,107_study1_image107_AF.png,1,23,92.833,233.833
24,107_study1_image107_AF.png,1,24,63.167,279.500
25,107_study1_image107_AF.png,1,25,96.500,273.167
26,107_study1_image107_AF.png,1,26,147.833,249.500
27,107_study1_image107_AF.png,1,27,120.833,249.833
28,107_study1_image107_AF.png,1,28,140.167,228.833
29,107_study1_image107_AF.png,1,29,181.500,287.500
30,107_study1_image107_AF.png,1,30,196.500,304.500
31,107_study1_image107_AF.png,1,31,163.167,304.833
32,107_study1_image107_AF.png,1,32,139.167,296.833
33,107_study1_image107_AF.png,1,33,147.833,324.500
34,107_study1_image107_AF.png,1,34,198.167,258.167
35,107_study1_image107_AF.png,1,35,185.500,241.833
36,107_study1_image107_AF.png,1,36,216.500,237.500
37,107_study1_image107_AF.png,1,37,245.167,225.833
38,107_study1_image107_AF.png,1,38,245.500,204.167
39,107_study1_image107_AF.png,1,39,264.167,231.500
40,107_study1_image107_AF.png,1,40,300.500,232.833
41,107_study1_image107_AF.png,1,41,317.167,261.500
42,107_study1_image107_AF.png,1,42,275.500,273.167
43,107_study1_image107_AF.png,1,43,242.833,284.833
44,107_study1_image107_AF.png,1,44,282.167,293.833
45,107_study1_image107_AF.png,1,45,304.167,309.833
46,107_study1_image107_AF.png,1,46,337.500,293.833
47,107_study1_image107_AF.png,1,47,375.167,316.500
48,107_study1_image107_AF.png,1,48,342.167,330.500
49,107_study1_image107_AF.png,1,49,275.167,194.833
50,107_study1_image107_AF.png,1,50,298.833,72.833
51,107_study1_image107_AF.png,1,51,291.833,94.833
52,107_study1_image107_AF.png,1,52,297.833,54.167
53,107_study1_image107_AF.png,1,53,225.167,115.167
54,107_study1_image107_AF.png,1,54,226.833,97.167
55,107_study1_image107_AF.png,1,55,65.500,208.833
56,107_study1_image107_AF.png,1,56,97.833,197.167
57,107_study1_image107_AF.png,1,57,160.833,188.500
58,107_study1_image107_AF.png,1,58,145.500,201.500
59,107_study1_image107_AF.png,1,59,21.500,206.167
60,107_study1_image107_AF.png,1,60,12.833,219.167
61,107_study1_image107_AF.png,1,61,249.500,322.833
62,107_study1_image107_AF.png,1,62,221.833,336.167
63,107_study1_image107_AF.png,1,63,79.833,300.833
64,107_study1_image107_AF.png,1,64,85.167,315.833
65,107_study1_image107_AF.png,1,65,88.500,339.500
66,107_study1_image107_AF.png,1,66,69.167,365.167
67,107_study1_image107_AF.png,1,67,384.833,239.833
68,107_study1_image107_AF.png,1,68,388.833,258.500
69,107_study1_image107_AF.png,1,69,369.833,269.167
70,107_study1_image107_AF.png,1,70,400.500,215.833
71,107_study1_image107_AF.png,1,71,418.500,203.167
72,107_study1_image107_AF.png,1,72,433.500,174.833
